keywords,language,meta-description,name,companyhomepageurl,location,street,city,region,postalCode,country,size,revenue,industries,similarTo,score,summary,ceo,phoneNumbers,linkedInUri,facebookUri,crunchbaseUri,twitterUri,wikipediaUri,angellistUri,githubUri,sicClassificationCode,sicClassificationName,naicsClassificationCode,naicsClassificationName,foundingDate,totalInvestment,investmentsSeries,investmentsAmount,investmentsDate,investors,isPublic,ipoDate,stockExchange,stockSymbol,isNonProfit,numVisits,lastActivityDate
,en-US,Coming Soonish,1up,1up.ai,"New York City, New York",,New York City,New York,11217,United States of America,5,62000 USD,"Software Companies,Software As A Service Companies",,,Organization founded in 2021,,,linkedin.com/company/1up-ai,facebook.com/1up-102770095552751,crunchbase.com/organization/1up-b96e,twitter.com/1up__AI,,,,"7372,7372,7370,7300","Prepackaged Software,Prepackaged Software,Computer Programming, Data Processing, And Other Computer Related,Business Services","511210,511210,511200,511000,510000",Software Publishers;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information,2021-12-24,2000000 USD,Seed,2000000 USD,2022-02-18,,FALSE,,,,FALSE,0,
Contact,en-US,,AiM Medical Robotics,aimmedicalrobotics.com,"Fort Lauderdale, Florida",401 E Las Olas Blvd suite 1400,Fort Lauderdale,Florida,33301,United States of America,5,48000 USD,"Software Companies,Artificial Intelligence Companies,Robotics Companies,Bioinformatics Organizations",,,Organization founded in 2018,Bob Cathcart,917-683-3092,linkedin.com/company/aim-medical-robotics,,crunchbase.com/organization/aim-medical-robotics,,,,,"7371,7371,7370,7300,7371,7372","Computer Programming Services,Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Computer Programming Services,Prepackaged Software","541511,541511,541510,541500,541000,540000,541511,511210,511200,511000,510000","Custom Computer Programming Services;Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Custom Computer Programming Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2018-01-01,3400000 USD,Seed,3400000 USD,2022-03-15,"Surrey Capital Partners,Triple Ring Technologies,Lambda Fund Management,Worcester Polytechnic Institute (WPI),IQ Capital Partners",FALSE,,,,FALSE,0,
Contact,en-US,Domain and IP threat intelligence feeds for cyber protection and investigational platforms based on continuously trained AI models. API provides web reputation and content classification for web security applications. Alpha Mountain AI  Inc. is located near Salt Lake City  Utah.,alphaMountain.ai,alphamountain.ai,"Salt Lake City, Utah",,Salt Lake City,Utah,84180,United States of America,2,87000 USD,"Software Companies,Enterprise Software Companies,Security Software Companies",,,Organization founded in 2020,,,linkedin.com/company/alphamountain,,crunchbase.com/organization/alpha-mountain,,,,,"7371,7370,7300,7372,7372","Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software,Prepackaged Software","541511,541510,541500,541000,540000,511210,511200,511000,510000,511210","Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information;Software Publishers",2020-01-01,2700000 USD,Seed,2700000 USD,2022-04-20,"Andrew Peterson,Prelude Fund,CROSSPOINT CAPITAL PARTNERS",FALSE,,,,FALSE,0,
,,,Anonybit,anonybit.io,"New York City, New York",,New York City,New York,11217,United States of America,5,92000 USD,"Software Companies,Enterprise Software Companies,Security Software Companies",,,Organization founded in 2020,Frances Zelazny,,linkedin.com/company/anonybit,,crunchbase.com/organization/anonybit,,,,,"7371,7370,7300,7372,7372","Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software,Prepackaged Software","541511,541510,541500,541000,540000,511210,511210,511200,511000,510000","Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2020-01-01,3500000 USD,Seed,3500000 USD,2022-01-18,"Industry Ventures,Aperture Venture Capital,Preceptor Capital,NextGen Venture Partners,Switch Ventures",FALSE,,,,FALSE,0,
,,,ApertureData,aperturedata.io,"Los Gatos, California",,Los Gatos,California,95030,United States of America,4,35000 USD,"Software Companies,Artificial Intelligence Companies,Computer Vision Companies",,,Organization founded in 2018,Vishakha Gupta,,linkedin.com/company/aperturedata,,crunchbase.com/organization/aperturedata,twitter.com/aperturedata,,,,"7371,7371,7370,7300,7372","Computer Programming Services,Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software","541511,541511,541510,541500,541000,540000,511210,511200,511000,510000","Custom Computer Programming Services;Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2018-10-17,3225000 USD,"Grant,Pre Seed,Seed","225000 USD,3000000 USD","2020-06-25,2021-08-07,2022-02-08","National Science Foundation (NSF),MAGIC Fund,MAGIC Fund,2048 Ventures,Graph Ventures,Alumni Ventures Group,Hustle Fund,Root Ventures,Work-Bench",FALSE,,,,FALSE,0,
Demo,,Get your APIs to market faster with our industry-leading API lifecycle management platform. From planning & design up to deployment & monitoring.,APIwiz,apiwiz.io,"Bellevue, Washington",1400 112th Ave SE suite 100,Bellevue,Washington,98004,United States of America,5,50000 USD,"Software Companies,Software As A Service Companies",,,Organization founded in 2017,Rakshith Rao,408-368-8742,linkedin.com/company/apiwizio,,crunchbase.com/organization/apiwiz,twitter.com/getapiwiz,,,,"7372,7372,7370,7300","Prepackaged Software,Prepackaged Software,Computer Programming, Data Processing, And Other Computer Related,Business Services","511210,511210,511200,511000,510000",Software Publishers;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information,2017-08-09,2000000 USD,Seed,2000000 USD,2022-03-25,Raj Khaware,FALSE,,,,FALSE,0,
Contact,fr-FR,,Apono,apono.fr,"Wilmington, Delaware",,Wilmington,Delaware,19801,United States of America,5,75000 USD,"Software Companies,Enterprise Software Companies,Security Software Companies",,,Organization founded in 2021,,,linkedin.com/company/aponoio,,crunchbase.com/organization/apono,twitter.com/Apono_official,,,,"7371,7370,7300,7372,7372","Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software,Prepackaged Software","541511,541510,541500,541000,540000,511210,511210,511200,511000,510000","Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2021-01-01,5000000 USD,Seed,5000000 USD,2022-03-22,"Ofir Ehrlich,Shlomi Boutnaru,MERON CAPITAL ADVISORS LTD,Doron Alter,YYM Ventures,Booster Ventures",FALSE,,,,FALSE,0,
,,,HELIXintel,app.helixintel.com/home,"Buffalo, New York",,Buffalo,New York,14204,United States of America,5,83000 USD,"Software Companies,Artificial Intelligence Companies,Robotics Companies",,,Organization founded in 2020,,,linkedin.com/company/helixintel,facebook.com/HELIXintel,crunchbase.com/organization/helixintel,twitter.com/helixintel,,,,"7371,7371,7370,7300,7372","Computer Programming Services,Computer Programming Services,Computer Programming, Data Processing, And Other Computer Related,Business Services,Prepackaged Software","541511,541511,541510,541500,541000,540000,511210,511200,511000,510000","Custom Computer Programming Services;Custom Computer Programming Services;Computer Systems Design and Related Services;Computer Systems Design and Related Services;Professional, Scientific, and Technical Services;Professional, Scientific, and Technical Services;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information",2020-01-01,5650000 USD,"Convertible Note,Seed,Seed","50000 USD,1600000 USD,4000000 USD","2020-09-16,2021-06-01,2022-03-09","Launch NY,Launch NY,Motivate Venture Capital,Future Communities Capital,Green Egg Ventures,Munich Re Ventures,Motivate Venture Capital,LAB Ventures,Green Egg Ventures,Stellifi",FALSE,,,,FALSE,0,
Contact,en-US,,Architect.io,architect.io,"Boston, Massachusetts",179 South Street 2nd Floor,Boston,Massachusetts,2111,United States of America,5,100000 USD,"Software Companies,Computer Hardware Companies,Software As A Service Companies",,,Organization founded in 2019,David Thor,,linkedin.com/company/architect-io,,crunchbase.com/organization/architect-io,twitter.com/architect_team,,,github.com/architect-team,"7372,7372,7370,7300,5734,5730,5700","Prepackaged Software,Prepackaged Software,Computer Programming, Data Processing, And Other Computer Related,Business Services,Computer And Computer Software Stores,Radio, Television, Consumer Electronics, And Music Stores,Home Furniture, Furnishings, And Equipment Stores","511210,511210,511200,511000,510000,334000,330000",Software Publishers;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information;Computer and Electronic Product Manufacturing;Manufacturing,2019-08-01,6500000 USD,"Pre Seed,Seed,Seed","1500000 USD,5000000 USD","2020-02-12,2021-12-16,2022-02-16","Comcast Ventures,NextGen Venture Partners,Alumni Ventures Group,Next Coast Ventures,Spike Ventures,Chris Nguyen,Comcast Ventures,Abstraction Capital,Jean Sini,NextGen Venture Partners,JJ Fliegelman,Marc Chenn",FALSE,,,,FALSE,0,
Contact,en-US,ENSURING HEROES KEEP THEIR PROMISE PILOT OUR TECH One Mission  One Common Operating Picture  One Screen https://ascentitech.com/wp-content/uploads/2022/03/Comp-1_1.mp4https://ascentitech.com/wp-content/uploads/2022/03/Comp-1_1.mp4 “Ascent Integrated Tech will change the firefight for the next generation of firefighters serving communities everywhere!” Tim Walsh Retired Chief of Special Operations  Chicago  IL FD “As a retired Incident Commander  this is what I have always wanted! […],Ascent Integrated Tech,ascentitech.com,"Champaign, Illinois",60 Hazelwood Drive,Champaign,Illinois,61820,United States of America,2,82000 USD,"Software Companies,Software As A Service Companies",,,Organization founded in 2020,Paul Couston,,linkedin.com/company/ascentintegratedtech,facebook.com/ascentitech,crunchbase.com/organization/ascent-integrated-tech,twitter.com/ascentitech,,,,"7372,7372,7370,7300","Prepackaged Software,Prepackaged Software,Computer Programming, Data Processing, And Other Computer Related,Business Services","511210,511210,511200,511000,510000",Software Publishers;Software Publishers;Software Publishers;Publishing Industries (except Internet);Information,2020-01-01,1400000 USD,"Pre Seed,Seed","400000 USD,1000000 USD","2021-04-01,2022-01-31","Fox Ventures,Illinois Ventures,Math Venture Partners,mHUB,Dipalo Ventures,Sandalphon Capital",FALSE,,,,FALSE,0,
